22:20:39.300 [OrderMain] INFO  OrderMain - 123
22:35:00.569 [Main] INFO  Main - 17674
22:35:00.577 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4214, stateOfPeel=true]
22:35:00.577 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4219, stateOfPeel=true]
22:35:00.578 [Main] INFO  Main - Tomato[Vegetables, name='Tomato', weight=1500, calories=5263, price=4529, stateOfPurity=true]
22:35:00.578 [Main] INFO  Main - Cabbage[Vegetables, name='Cabbage', weight=1400, calories=2902, price=4712, stateOfFreshess=true]
22:35:00.578 [SaladServiceImpl] WARN  SaladServiceImpl - No vegetables
23:18:40.169 [Main] INFO  Main - 17674
23:18:40.180 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4214, stateOfPeel=true]
23:18:40.180 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4219, stateOfPeel=true]
23:18:40.181 [Main] INFO  Main - Tomato[Vegetables, name='Tomato', weight=1500, calories=5263, price=4529, stateOfPurity=true]
23:18:40.181 [Main] INFO  Main - Cabbage[Vegetables, name='Cabbage', weight=1400, calories=2902, price=4712, stateOfFreshess=true]
23:18:40.181 [SaladServiceImpl] WARN  SaladServiceImpl - No vegetables
23:18:50.767 [Main] INFO  Main - 17674
23:18:50.776 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4214, stateOfPeel=true]
23:18:50.776 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4219, stateOfPeel=true]
23:18:50.777 [Main] INFO  Main - Tomato[Vegetables, name='Tomato', weight=1500, calories=5263, price=4529, stateOfPurity=true]
23:18:50.777 [Main] INFO  Main - Cabbage[Vegetables, name='Cabbage', weight=1400, calories=2902, price=4712, stateOfFreshess=true]
23:18:50.778 [SaladServiceImpl] WARN  SaladServiceImpl - No vegetables
23:18:58.518 [Main] INFO  Main - 17674
23:18:58.525 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4214, stateOfPeel=true]
23:18:58.526 [Main] INFO  Main - Cucumber[Vegetables, name='Cucumber', weight=1000, calories=3123, price=4219, stateOfPeel=true]
23:18:58.527 [Main] INFO  Main - Tomato[Vegetables, name='Tomato', weight=1500, calories=5263, price=4529, stateOfPurity=true]
23:18:58.527 [Main] INFO  Main - Cabbage[Vegetables, name='Cabbage', weight=1400, calories=2902, price=4712, stateOfFreshess=true]
23:18:58.527 [SaladServiceImpl] WARN  SaladServiceImpl - No vegetables
21:26:35.039 [Storage] INFO  Storage - Boxes are taken away
21:26:35.081 [Storage] INFO  Storage - Boxes are taken away
21:26:36.084 [Storage] INFO  Storage - Boxes are taken away
21:26:36.085 [Storage] INFO  Storage - Boxes are taken away
21:26:37.085 [Storage] INFO  Storage - Boxes are taken away
21:59:08.678 [Storage] INFO  Storage - Boxes are taken away
21:59:08.678 [Storage] INFO  Storage - Boxes are brought
21:59:09.682 [Storage] INFO  Storage - Boxes are taken away
21:59:59.533 [Storage] INFO  Storage - Boxes are brought
22:00:00.533 [Storage] INFO  Storage - Boxes are brought
22:00:00.533 [Storage] INFO  Storage - Boxes are brought
22:00:00.533 [Storage] INFO  Storage - Boxes are taken away
22:00:00.549 [Storage] INFO  Storage - Boxes are brought
22:00:01.539 [Storage] INFO  Storage - Boxes are taken away
22:00:01.549 [Storage] INFO  Storage - Boxes are brought
22:00:41.279 [Storage] INFO  Storage - Boxes are taken away
22:01:25.679 [Storage] INFO  Storage - Boxes are taken away
22:01:59.073 [Storage] INFO  Storage - Boxes are taken away
22:03:38.561 [Storage] INFO  Storage - Boxes are taken away
22:13:28.424 [Storage] INFO  Storage - Boxes are taken away
22:13:43.955 [Storage] INFO  Storage - Boxes are taken away
22:14:34.958 [Storage] INFO  Storage - Boxes are taken away
22:16:11.790 [Storage] INFO  Storage - Boxes are taken away
22:16:43.187 [Storage] INFO  Storage - Boxes are taken away
22:17:04.996 [Storage] INFO  Storage - Boxes are taken away
22:17:48.153 [Storage] INFO  Storage - Boxes are taken away
22:19:21.928 [Storage] INFO  Storage - Boxes are taken away
22:19:52.941 [Storage] INFO  Storage - Boxes are taken away
22:20:03.932 [Storage] INFO  Storage - Boxes are taken away
22:20:11.112 [Storage] INFO  Storage - Boxes are taken away
22:20:19.418 [Storage] INFO  Storage - Boxes are taken away
22:20:19.418 [Storage] INFO  Storage - Boxes are taken away
22:20:30.103 [Storage] INFO  Storage - Boxes are taken away
21:28:16.895 [Storage] INFO  Storage - Boxes are taken away
21:29:16.478 [Storage] INFO  Storage - Boxes are taken away
21:31:22.481 [Storage] INFO  Storage - Boxes are taken away
21:31:48.637 [Storage] INFO  Storage - Boxes are taken away
21:35:03.195 [Storage] INFO  Storage - Boxes are taken away
21:46:14.398 [Storage] INFO  Storage - Boxes are taken away
